name,success
Dustin Schultz,False
Daniel Reynolds,True
Shannon Owens,False
Peter Reilly,False
Mary Merritt MD,True
Ruth Martinez,True
Denise Barrett,False
Paula Davis,True
Shari Parker,True
Randall Martin,False
Scott Rivera,True
Micheal Wood,False
James Woods,False
Brian James,True
David Keller,True
Lisa Adams,True
Jeremy Bishop,False
Janet Allison,False
Tracy Hamilton,True
Jo Padilla,False
Dwayne Pearson,True
Lisa Garcia,True
Kirk Winters,True
Theodore Rivera,False
Heather Tran,False
Danielle Davis,False
Jessica Flores,False
Daniel Andrews,False
Nicole Thomas,False
Pamela Ruiz,True
Brian Jackson,False
Bailey Yates,True
Thomas Miller,True
Alan Charles,True
Kimberly Powell,True
Maria Zavala,False
Chad Roberts,True
Mark Mosley,False
Kristina Martinez,True
Daniel Nichols,True
Daniel Shepherd,True
Douglas Hunt,False
Kevin Arroyo,True
Abigail Ferguson,False
Jonathan Brown,True
Melissa Edwards,False
Valerie Bryant,False
Erika Smith,True
Amanda Jimenez,False
William Gallegos,True
Rebecca Walter,True
Brian Hoffman,False
Garrett Holder,False
Brian Martinez,False
Melinda Arroyo,True
Julie Curry,False
Jason Thompson,False
Vincent Walsh,False
Duane Anderson,True
Mark Morgan,False
Allison Lucas,True
Terry Garza,True
Tara Warren,True
Diana Chen,False
Timothy Myers,True
Crystal Mcdonald,True
Christina Robinson,False
Louis Harper,False
Rachel Rogers,False
Kelly Reynolds,True
Kenneth Gray MD,False
Nicole Carter,True
Jeremiah Cobb,False
Carolyn Harvey,False
Jacqueline Hamilton,False
Stephanie Garza DVM,False
Reginald Miranda,True
Shane Turner,False
Anna Figueroa,True
Gina Nichols,True
Jeremy Gardner,False
Juan Jones,True
Mr. Daniel Bishop,False
Mary Evans,True
Billy Casey,True
David Hart,False
Russell Armstrong,False
Stephen Barber,True
Charles Allen Jr.,True
Bruce Marquez,False
Alexis Sawyer,True
Breanna Fowler,True
Jennifer Cooke,False
Daniel Williams,True
Lisa Francis,False
Nicholas Bruce,False
Lisa Morgan,True
John Logan,True
Adam Ford,False
Melanie Nelson,False
Desiree Parrish,True
Lauren Santiago,True
Marcus Garrett,True
Joshua Stevens,True
Scott Miller MD,False
Victor Anderson,False
Robert Mann,False
Scott Garcia,False
Ross Ward,True
Brent Christian,False
Philip Jones,False
Kevin Smith,False
Kathryn Hunter,False
Thomas Ortiz,True
Robert Meyer,False
Alvin Parrish,True
Lori Cook,False
Jason Garcia,False
Angela Hernandez,True
Michael Schroeder,False
Jessica Miles,False
Brittany Parks,False
Andrew Cook,True
Joseph Castillo,False
Kenneth Warner,True
Stephanie Morrison,False
Teresa Wong,False
Erica Fisher MD,False
Robert Evans,False
Elizabeth Carlson,False
Nicholas Moore,True
Matthew Drake,True
Christopher Wright,True
Christine Thomas,True
Taylor Wilson,False
Jo Taylor,False
Luis Mendoza,True
Savannah Callahan,False
Gavin Page,False
Jacob Jordan,True
Sara Lopez,True
Mitchell Rose,True
Anthony Lucas,False
Ruben Brown,True
Matthew Moore,False
Jeffrey Morgan,True
Michelle Tucker,True
Gary Collins,False
Andrew Velasquez,True
Johnny Banks,True
Connie Brown,True
Mrs. Stephanie Clark,False
Laura Porter,True
Melanie Cordova DDS,False
Mary Wilson,True
David Swanson,True
Michael Jackson,True
Brooke Blackburn,False
Martin Eaton,False
Allen Jones,False
Jonathan Smith,True
John Garcia,False
Carl Johnson,True
Sarah Mckenzie,True
Peter Rodriguez,True
Christopher Prince,True
Kimberly Buchanan,False
Peter Griffith,True
Megan Golden,False
Madison Lewis,True
David Floyd,True
Chad Kramer,False
Kayla Morris,False
Steven Williams,True
Timothy Daniels,False
Jennifer Warner,True
John Green,False
Brian Moore,False
Christina Vasquez,False
Heather Harrell,True
Emily Preston,True
Michael Jackson,False
Barbara Meadows,True
Corey Huber,True
James Merritt,True
Craig Johnson,True
Michael Stark,False
Anna Hicks,True
Amy Casey,True
Amanda Hicks,False
Crystal Franklin,True
Olivia Estes,True
Justin Johnson,False
Andre Sanders,False
Richard Green,True
Michael Page,False
Angela Cordova,True
Alexander Keller,True
Jillian Holloway,False
Travis Oliver,True
Seth Mccoy,False
Kaitlyn Horne,True
Heather Martin,False
Jason Flores,False
Jay Pierce,True
Christine Lloyd,False
Nancy Edwards,True
Lisa Maldonado,True
Jason Oconnell,True
Cynthia Jenkins,False
Jake Blevins,False
Judith Campos,True
Willie Brown,False
Amanda Jimenez,True
Ashley Brady,True
Jason Clark,True
Mitchell Dyer,True
Joel Dunn,False
Richard Ortega,False
Shannon Smith,True
Jennifer Watson,False
Michael Joseph,False
Kathy Robinson,False
Mark Russell,False
Colin Young,True
Ethan Morris,False
Michael Ramos,True
Omar Dean,False
Miss Paige Joyce,True
Paul Nguyen,True
Nicholas Reynolds,True
Karina Miller,False
George Woods,False
Tracy Huynh,True
Jacob Ellis,False
Donald Santos,False
Benjamin Patterson,False
Leslie Robinson,False
Sherri Morgan,True
Jose Lewis,False
Andrew Charles,True
Audrey Jones,True
Kaitlyn Harvey,False
Laura Herrera,True
Sherry Bell,False
Yolanda Monroe,False
Ryan Maldonado,False
Jason Huber,True
Sarah Ryan,True
Nathan Webster,False
Rick Bennett,True
Courtney Davis,True
Jessica Miller,False
Colin Boone,True
Robin Sutton,True
Tracy Davies,False
Matthew Horton,False
Taylor Moreno,False
Melissa Miranda,True
David Ewing,False
Michelle Baird,True
Daniel Bautista,True
Denise Dominguez,True
Elizabeth Everett,False
Christopher Ramirez,True
Caroline Weber,False
Erik Bridges,True
Paula Bush,False
Joshua Tran,True
Robert Costa,True
Melinda Henry,False
Timothy Mcfarland,False
Andrea Rosario,True
Aaron Kane,True
Cameron Smith,True
Cheryl Cruz,False
Kenneth Fox,True
Dominique Jones,True
Sherry Jackson,True
Kevin Carpenter,False
Michael Lowery,True
Samantha Sanders,False
William Bell,True
Stuart Campos,False
Tracy Moon,False
Lori Schmidt MD,False
Justin Allen,False
Alexis Khan,True
Abigail Middleton,False
Brittney Roberts,True
Amy Bailey,False
Andrea Lewis,False
Emily Sanders,False
Justin Donaldson,True
Angela Faulkner,True
Hector Sims,True
Brian Logan,True
Ryan Higgins II,True
Christopher Smith,False
Charles Williams,True
Gary Morgan,False
Adam Morrison,True
Brandy Spears,True
Kevin Castaneda,True
Kevin Frey,True
Dawn Cain,True
Frank Jones,False
Micheal Shaw,True
Nicholas Parks,True
Wesley Dyer,True
John Mckay,True
Morgan Forbes,False
Tammy Young,False
Amy Marquez,True
Tyler Long,False
Christy Thornton,True
Gregory Crane,True
Larry Clarke,True
Susan Sanders,True
Leslie Casey,False
Andrew Mcdonald,False
Bradley Miller,False
Katherine Frazier,True
Marcus Roach PhD,True
Steven Powell,False
Edward Johnson,True
Christie Foster,True
Andrew Johnson,True
Lori Lowe,False
Barbara Reed,False
Michelle Snyder,False
Travis Hunter,True
Richard Reed,False
Dominique Turner,True
Andrew Hawkins,False
Bradley Smith,True
Daniel Ramsey,True
Jesse Hall Jr.,False
Taylor Nicholson DDS,False
Mark Johnson,True
Tara Shaw,True
Leah Thomas,False
Earl Gomez,False
John Foster,False
Mr. Paul Rowland,True
Carl Cooper,True
Mary Martinez,False
Melissa Shields,False
Emily Fields,False
James Fisher,True
Kaitlyn Phillips,True
Aaron Robertson,False
Christopher White,True
Megan Gutierrez,True
David Kim,True
Michael Powell,False
Louis Roberts,False
Jessica Torres,False
Aaron Osborn,True
Jennifer Roberts,True
Wanda Hamilton,False
Carlos Lucas,True
Nathan Newman,True
Joe Bell,False
Courtney Burns,True
Lisa Smith,False
Daniel Franklin,False
Adrienne Woods,True
Vernon Sims,False
Stephen Brown,True
Kimberly Ross,True
Kristen Davis,False
Lori Johnson,False
Kristin Wilson,True
Scott Long,True
Maria Cowan,True
Joshua Hart,True
Benjamin Hurley,True
Nancy Sherman,False
Jacob Johnson,True
Dr. Cory Hall MD,True
Sandra Wilson,True
Kayla Richards,True
Steven Foster,True
Lisa Arroyo,True
Justin Jackson,False
Samantha Salazar,False
Brian Jenkins,False
Robin Powell,True
Kristen Ross,False
Mitchell Riddle,False
Melissa Jones,False
Tracy Adams,False
Nicholas Mckee,False
Lisa Wang,False
Sean Harris,True
Jamie Brown,False
Alicia Lang,False
Rebecca Shepherd,False
Christopher Caldwell,False
Patricia Green,True
Kelsey Wolfe,False
Tara Miles,True
Sarah Walker MD,True
Sarah Davis,True
William Johnson,False
Wayne Sutton,True
Seth Rogers,True
Casey Green,False
Logan Bernard,True
Lynn Smith,False
Natasha Taylor,False
John Lucero,False
Mary Yu,True
Courtney Nichols,False
David Gomez,True
Mark Phelps MD,False
Raymond Gonzalez,False
Bradley Bryant,True
Jacob Rogers,True
Heather Lewis,True
Juan Lloyd,False
Billy Ramos,True
Dr. Brian Wheeler,False
Anthony Walker DVM,False
William Duncan,False
Travis Myers,False
Shannon Jacobs,True
Arthur Hooper,True
Derrick Howard,False
Patricia Larson,False
Crystal Orozco,True
Ryan Meyer,True
Michael James,False
Cassandra Walker,False
Lisa Harmon,True
George Morrow,True
Zachary Parker,True
Thomas Murphy,False
Erin Young,True
Sara Mcmahon,True
Richard Simpson,False
Joseph Williams,False
Gina Delacruz,False
Dr. Annette Johnson,True
Samantha Brady,False
John Hamilton,False
Mary Davidson,False
Lauren Jones,False
Jessica Green,False
Lisa Shaw,True
Debra Owen,True
Alexander Fox,False
Sharon Steele,True
Michael Roy,False
Daniel Kirby,True
Nicole Watts,True
Eric Randolph,True
John Johnson,False
Isabella Murphy,True
Tammy Gregory,True
Nicole Perez,False
Jason Ramirez,True
Sergio Francis,False
Brittany Phillips,True
Tanya Daniels,False
Luis Bailey,False
Richard Flores,False
Eric Nelson,True
Sara Walker,True
David Gray,True
Justin Mercado,False
Natasha James,True
Scott Robbins,True
Lori Solis,False
Jennifer Clayton,True
Eduardo Wilson,True
Amy Brock DDS,False
Marcus Butler,True
Jason Martinez,False
Steve Ramirez,True
Jade Hughes,False
Mr. Jordan Young,True
Jessica Crane,False
Jackson Flores,True
Melissa Ryan,False
Daniel Holland,True
Julian Smith,False
Daniel Fischer,False
Molly Carr,True
Rebecca Garcia,False
Ross Hansen,False
Joseph Jackson,True
Amanda Wilson,False
Tracie Dorsey,True
Michelle Martin,True
Jennifer Skinner,False
John Duffy,False
Katherine Cortez,True
Victoria Tanner,False
Sharon Rios,True
Katelyn Carroll,False
Anthony Hernandez,True
Lisa Turner,True
Rachel Chavez,False
Anthony Murray,True
Jason Rodriguez,False
Pamela Brown,True
Matthew May,False
Thomas Hurst,True
John Sharp,True
Mark Avila,True
Briana Hardy,False
Jeremiah Hansen,False
Brandon Nichols,True
Mary Newton,True
James Mccarty,True
Jessica Collier,False
Aaron Rojas,False
Matthew Barry,True
Timothy Meyers,False
Jeffrey Thomas,True
Mr. Jonathan Lewis,False
Timothy Smith,False
Benjamin Wong,True
Lee Ryan,True
Diamond Ellis,False
Benjamin Chandler,True
Lance Hill,False
Eric Irwin,False
Jessica White,True
April Martin,True
Joseph Lamb,False
Debra Johnson,False
Robert Mills,False
Jordan Hernandez,True
Patricia Acosta,True
Jessica Barron,True
Austin Kramer,True
Devon Williams,True
Christopher Saunders,False
Adam Hurley,True
Eric Gibbs,False
Tiffany King,True
William Jackson,True
Mario Walters,False
Mary Dickson,True
Ashley Miller,False
Elizabeth Wallace,False
Elizabeth Green,False
Christopher Garcia,True
Crystal Ross,True
Michelle Moore,False
Amanda Espinoza,True
Sean Bennett,True
Amanda Valdez DDS,False
Katelyn Patel,False
Amanda Brown,False
Jonathan Peters,False
Maria Morgan,False
Julie Johnston,False
Elaine Medina,False
Shannon Lewis,True
Jamie Morris,False
Scott Norman,False
Dawn Jones,True
Angela Perez,False
Eddie Smith,True
Emily Beck,False
Brittney Wells,True
Hannah Arnold,False
Jessica Myers,True
Melanie Brown,True
Aaron Gibson,False
Shelley Gonzalez,False
Krystal Miller,False
Allison Sanders,True
Adrian Smith,True
Hunter Allen,False
Crystal Wilson,True
Kathryn Humphrey,True
Allison Buck,False
Amy Lee,True
Lauren Rosario,False
Michelle Gonzales,True
Charlotte Wise,False
David Williamson,False
Ashley Willis,True
Michael Wall,False
Tammy Meadows,False
Wendy Perez,False
Lance Turner,True
Joshua Petersen,False
Paige Miller,True
Patricia Brown,True
Peter York,False
Abigail Salazar,True
Jacob Stevens,True
Matthew Ross,True
Sandra Willis,True
Gerald Gamble,False
Claudia Ellis,True
Nicole Stanley,True
Monica Lee,False
Tyler Robinson,True
James Mays,False
Logan Lopez,True
Gary Escobar,True
Erin Velasquez,True
Ashley Lee,False
Jimmy Wilcox,True
Amber Curry,False
Brian Richards,False
Antonio Scott,True
Joseph Fischer,False
Samantha Mckee,True
Michelle Morales,False
Kathy Miller,False
Micheal Woods,False
Kelli Moss,True
Oscar Watts,False
Roberto Brady,False
Sonya Medina,True
Christopher Torres,True
Kimberly Sullivan,True
Megan Schmidt,True
Timothy Huber,False
Jacob Smith,True
Lauren Kim,False
Michelle Hughes,False
Michael Montgomery,False
Regina Keith,False
Teresa Medina,False
Angela Landry,True
Brooke Knapp,False
Seth Smith,True
Megan King,True
Justin Glass,True
Brittney Harris,False
Nicole Garcia,False
Melissa Ellis,True
Steven Reid,True
Brian Bell,False
Charles Kirk,True
Michael Patton,True
Danny Stanton,False
Charles Medina,True
Elizabeth Ward,False
Ronnie Davis,False
Mark Smith,True
Henry Bender,False
Casey Charles,False
Wendy Hall,False
Kimberly Reed,True
Mark Chapman,False
Kenneth Carpenter,True
Tracy Marshall,True
Joseph Mora,True
Brittany Torres,True
Denise Barry,False
Javier Myers,True
Christian Hunter,True
Andrea Jordan,True
Richard Gonzales,True
Samantha Tucker,False
Terry Wright,True
Craig Holmes,False
Marissa Flynn,True
Hayley Salas,False
Kyle Hernandez,False
Jack Jackson,False
Sean Lozano,True
Patrick Reid,True
Jessica Smith,True
Heather Coleman,True
David Lucas,False
Edward Edwards,True
Kelly Nelson,True
Jeffrey Baker,False
Karen Mccoy,False
Rachel Stephenson,False
Grace Gould,False
Morgan Hernandez,False
Elizabeth Oconnell,True
Linda Giles,False
Tina Cooper,True
Natalie Miller,False
Jamie Carroll,True
Peter Medina,True
Marc Kim,True
Jesse Young,False
Shannon Baldwin,True
Lisa Mccoy,False
Matthew Briggs,True
Dr. Dawn Greene DDS,True
Mrs. Rebecca Walls,False
Lindsay Stevenson,False
Jordan Cox,False
Timothy Green,True
Kenneth Ellis,True
Erica Ellis,True
Sarah Flores,True
Kellie Baker,True
Joel Manning,False
Tammy Lee,False
Christie Duncan,True
Kelli Walker,True
Jeffrey Graham,True
Nicole Gibson,False
Craig Maxwell,False
Donna Holland,False
Richard Young,False
Nancy Sanders,True
Devin Le,True
Jason Mendoza,False
Ryan Dean,True
Amy Oliver,True
James Chung,True
Jared Gallagher,True
Amy Glover,False
Crystal Miller,True
Bryan Curtis,True
Ashley Jackson,False
Sheila Martinez,False
Terry Martinez,False
Karen Mccarthy,False
Sarah Doyle,True
Alex Nelson,False
Kevin Bailey,True
Jason Perez,True
Linda Sanchez,True
Michael Taylor,True
Anthony Wilson MD,True
Christina Obrien,False
Steven Harper,True
Amy Smith,False
Amy Brown,True
Meredith Taylor,False
Stephanie Aguilar,True
Ian Collins,False
David Black,True
John Vincent,True
Stephanie Rivas,False
Donna Cooper,True
Joshua Green,False
Laura Newman,False
Jose Allison,False
Allison Cuevas,False
Arthur Ramirez,False
Joshua Hull,False
Austin Duarte,False
Mark Cross,True
Holly Koch,False
Jennifer Adams,False
Hannah Davis,True
Claudia Bates,False
Raymond Armstrong PhD,False
David Brown,True
Mrs. Pamela Gomez DVM,True
Kevin Howard,True
Aaron Ortiz,True
Alejandro Johnson,True
Michael Frazier,False
Howard Johnson,False
Tammie Brooks,True
Patricia Vega,True
Christina Allen,True
Jeffrey Murillo,True
Bryan Garrison,False
Cody Collins,False
Thomas Lucas,False
Emily Villarreal,True
Jonathan Waters,True
Andrew Acosta,True
Michael Garza,False
Jeremy Barrett,True
Jared Nelson,False
Bobby Velazquez,True
Rachel Hicks,False
Edward Keller,False
Mary Sanders,False
Keith Villa,True
Jeremy James,True
Courtney Ibarra,False
Dr. Ellen Floyd MD,True
David Butler,False
Joel Gardner,True
Autumn Phillips,True
Brittany Brewer,True
Kenneth Kemp,False
Paul Heath,True
Phillip Walsh,False
Vanessa Carey,True
Gabrielle Williams,False
Emily Eaton,False
Steven Harris,True
Elizabeth Meza,False
Stephen Coleman,True
Mike Horn,True
Mrs. Kristen Graham,True
Sean Howard,True
Cindy Duncan,True
Lauren Bishop,True
Robin Nguyen,True
Margaret Smith,False
Tony Robinson,True
Dawn Murray,True
Robin Andersen,False
Laura Johnson,False
Wayne Carter,False
Susan White,False
Abigail Sutton,True
Gregory Heath,False
Philip Carter,False
Cheryl Sanders,True
Sharon Griffith,False
Samuel Valentine,True
Joshua Rodriguez,False
Deanna King,True
Teresa Woodward,False
Stephanie Fitzpatrick,False
Jeremy Edwards,False
Tanya Jackson,False
Joseph Stafford,True
Curtis Joseph,True
Bethany Brady,False
Lori Jones,False
Amanda Carter,False
Eric Hurst,False
Shelby Cox,True
Kevin Rogers,True
Jason Clark,True
Jason Ayala,True
James Cruz MD,True
Kevin Thompson,False
Emily Larson,True
Kimberly Boyd,True
Elizabeth Martinez,True
Ashley Lee,True
Kayla Brown,False
Alex Rodriguez,False
Marissa Bell,True
Deborah Wood,False
Amy Smith,False
Tommy Craig DDS,True
Joseph Massey,False
Sydney Jones,True
James Winters,True
Jessica Fletcher,False
Adam Sampson,False
Michael Woods,True
Wendy Moon,False
William Barker,False
Anthony Hayes,False
Ryan Petersen,True
Ashley Russell,False
Shannon King,True
Jay Lopez,False
Patricia Lowery,True
Steven Moore,False
Michelle Burke,True
Candace King MD,True
Amanda Galvan,False
Roy Wilson,False
Kimberly Swanson,True
Melissa Randall,False
Anthony Hill,True
Jeffery Foster,False
Rachel Cross,True
Stacy Anderson,False
Lynn Jones,True
Laurie Hughes,False
Sandra Turner,True
Kristen Palmer,True
Peter Sawyer,True
Michael Nelson,True
Anthony Wiggins,True
Kimberly Shaffer PhD,True
Michelle Clark,False
Steven Graves,True
Kimberly Brooks,True
Natasha Morris,False
David Merritt,True
Charles Fisher,False
Anna Wall,True
Clifford Everett,True
Monica Watkins,True
Alicia Schwartz,False
Mrs. Ashley Sandoval PhD,False
Mrs. Dawn Roman,False
Michael Smith,False
Bradley Howard,True
Jacqueline Elliott,False
Brian Hardy,False
Paula Smith,True
Veronica Brown,True
Stephanie Rodriguez,True
Anne Rose,False
Cole Jones,False
Amy Good,False
Stephanie Garcia,False
David Smith,True
Mr. Christopher Booth,True
John Simmons,True
Heather James,False
Francis Williams,False
Melissa Ford,False
Mrs. Mariah Alvarado DVM,True
Ashley Hicks,True
Gary Kennedy,False
Christopher Bell,False
Richard Brown,False
Victoria Parrish,True
Joseph Perez,True
Tracy Hogan,True
Jennifer Lin,False
Matthew Levy,False
Kevin Osborn,False
Tracy Sanchez,False
Samantha Martin,True
Robert Bradley,True
Megan Peterson,False
Tonya Collins,False
Elizabeth Gilbert,True
Dana Stevens,False
Christopher Flores,False
Kathryn Reeves,False
James Kidd,True
Jennifer Prince,True
William Hicks,True
Stephanie Weaver,True
William Gibson,False
Brandi Austin MD,True
Barbara Hernandez,True
Ann Greer,True
Dominique Jones,True
Wanda Rivera,True
Susan Beasley,True
Ashley Moore,False
Amy Ramirez,True
Robert Smith,True
Sarah Roy,False
Marc Peterson,True
Cory Ferguson,True
John Stuart,True
Mary Brown,False
Katie Adams,True
Susan Thomas,True
Ann Sullivan,True
William Rivera,True
Virginia Gay,False
Yvette Gregory,True
Kathleen Porter,False
Ruth Ward,True
Megan Hamilton,True
Allison Elliott,False
Brittney Lane,False
Michael Lane,False
Alyssa Andrews,True
Charles Owens,True
Matthew Glass,True
Adrian Hebert,True
Sharon Flores,True
Kelly Williams,True
Brandon Short,True
Jennifer Johnson,False
Dave Harvey,True
Dustin Garcia,False
Corey Wilson,False
Suzanne Gibbs,False
Ashley Jackson,False
Michael Adams,False
Erik Vega,True
Jasmine Crosby,True
Mr. Steve Gutierrez,True
Jeremy Harvey,False
Patricia Nash,False
Brady Jackson,False
Bobby Anderson,False
Melody Martin,False
Mitchell Lawrence,False
Beverly Young,False
Jacob Anderson,True
Cesar Richard,True
Danielle Reynolds,True
Vanessa Clark,True
Kelli Burns,True
Russell Peterson,True
Derek Bradford,False
Sandra Powell,True
Erik Stewart III,False
Wayne James,False
Bonnie Johnson,False
Heather Davis,True
Jason Perez,False
Lisa Obrien,True
Jessica Austin,True
Frank Webster,True
Alex Werner,False
Kathleen Bowman,False
Austin Obrien,True
Kathryn Barnes,True
Jacqueline Bryant,False
Kelly Bailey MD,False
Glenn Jones,True
Andre Davis,False
Sonia Young,False
Daniel Morales MD,True
Jamie Richardson,False
Michael Bryant,False
Sarah Anderson,True
Jamie Morales,True
Michael Mathis,False
Sean Johnson,True
David Monroe,True
Jason Gaines,False
Sheila Pena,True
Rachel Phillips,False
Leslie Lawrence,True
Veronica Thomas,True
Tracy Meyer,True
Maxwell Ryan,True
Nicole Stephens,True
Robert Hurst,True
Diana Bates,False
Kristi Hernandez,True
Michael Nguyen,True
Amy Kirk,True
Sandra Boyer,False
Nicole Cameron,False
Kimberly Anderson,True
Jeffrey Leon,False
Holly Stein,True
Anne Carroll,True
Daniel Velasquez,True
Samantha Martinez,True
Scott Clark,False
Caleb Smith,False
Bradley Wallace,False
Justin Haley,True
Erica Hanson,False
David Wallace,True
Bradley Mcdonald,False
Andrea Stevenson,True
Kristin Cochran,True
Bradley Anderson,False
Sabrina Brown,False
Susan Davis,False
Francisco Dixon,True
Rodney Cross,True
Daniel Ford,True
Jonathan Kline,False
Caitlin Wiggins,True
Luke Bird,False
Charles Decker,False
Christopher Tran,True
Patricia Lee,False
Sharon Larson,False
Debbie Horton,True
Charles Schwartz,False
Penny Mays,False
Elizabeth Atkinson,False
Robert Singleton,False
Tara Horn,True
Jason Lopez,True
Brittany Ortega,True
Jason Freeman,False
Amy Martinez,True
Jasmine Gray,False
Carl Simpson,False
Daniel Navarro,False
Daniel Nichols,False
James Gaines,False
Elizabeth Brown,False
Cheryl Hines,True
Angela Ward,False
Julie Davis,False
Thomas Hayes,False
Amanda Rose,True
Michael Paul,True
Andrew Webb,False
Walter Wong,False
Jennifer Glass,False
Amanda Jackson,True
Courtney Robinson,False
Melissa Horton,True
Kathy Wilson,True
James Mayo,True
Jill Garcia,False
Molly Mueller,True
George Robinson,False
Amanda Benson,False
Meagan Clark,False
Bobby Nguyen,True
Devon Hunt,False
Courtney Price,False
Frank Rose,False
Daniel Holder,True
Eric Fischer,False
Mr. Derek Small,True
Stephanie Nguyen,True
Zachary Rodriguez,False
Patricia Miller,True
Lauren Mosley,False
Brian Johnson,False
Lindsey Banks,False
Steven Austin,True
Julie Erickson,True
Jesse Rogers,True
Andrea Mccarty,True
Jeffrey Day,True
Jonathan Alvarado,True
Michelle Nixon,False
Nathan Bryant,True
Timothy Francis MD,False
Stephen Moore,False
Susan Green,True
Katherine Velasquez,False
Patricia Scott,False
Matthew Leon,False
Brent Gibson,True
Adam Campos,False
Victor Robinson,False
Elizabeth Scott,True
David Patterson,True
